Gene,log2FC,pvalue,FDR
Ankzf1,-0.870904126,1.64E-24,5.74E-24
Obsl1,-1.031357261,5.95E-13,1.49E-12
Mogat1,-0.905702446,1.22E-05,2.21E-05
Col4a3,-1.217607472,4.73E-30,1.91E-29
Agfg1,0.573954614,1.19E-45,6.84E-45
Daw1,-2.448830719,1.07E-13,2.75E-13
Fbxo36,-2.841120733,2.78E-17,8.04E-17
Sp100,-0.397020443,1.42E-09,3.11E-09
Pde6d,-0.546338661,6.77E-26,2.46E-25
Cops7b,0.531186146,7.87E-25,2.78E-24
Eif4e2,1.12273884,9.12E-78,9.33E-77
Cops8,-0.126062606,0.016651179,0.023685377
Ube2f,0.318851839,9.33E-09,1.97E-08
Scly,0.998780717,2.00E-38,9.79E-38
Traf3ip1,1.374505291,1.14E-72,1.07E-71
Hdac4,0.181894083,0.012418986,0.017870679
Kif1a,-1.339996421,0.000129102,0.000218373
Mterf4,-0.302903287,6.88E-06,1.27E-05
Thap4,-0.362279607,5.26E-05,9.14E-05
Twsg1,-1.383893216,1.53E-121,2.83E-120
Dennd1c,1.031639128,1.65E-15,4.52E-15
Vmac,-1.417547937,4.72E-97,6.33E-96
Ticam1,-0.413921455,2.12E-07,4.21E-07
Plin4,-5.062110368,1.70E-128,3.39E-127
Ubxn6,0.236348813,0.000445995,0.000726439
Chaf1a,3.581583138,0,0
Stap2,-2.109943056,4.13E-50,2.59E-49
Zfp609,-0.969412998,1.54E-56,1.09E-55
Cav2,-4.336640038,5.67E-226,2.87E-224
Fundc1,0.097077764,0.010960389,0.015844229
Ndp,-1.7030272,9.87E-06,1.80E-05
Usp9x,-0.24389871,2.90E-07,5.72E-07
Tspan7,-1.550673823,1.42E-22,4.74E-22
Dynlt3,-1.830733203,5.28E-100,7.42E-99
Ftsj1,-0.175044752,0.000669605,0.001077369
Otud5,0.817195588,2.86E-44,1.60E-43
Chrdl1,-3.647781557,1.29E-140,2.95E-139
Col4a5,-3.572963884,4.08E-68,3.54E-67
Col4a6,-3.672214478,3.55E-25,1.27E-24
Fgd1,-1.809555785,4.20E-34,1.87E-33
Gemin8,0.717787611,5.95E-22,1.95E-21
Mospd2,-0.341129682,4.24E-06,7.89E-06
Piga,-0.712091366,3.74E-12,9.08E-12
Reps2,1.931069725,5.58E-44,3.10E-43
Sms,1.097229914,4.56E-25,1.62E-24
Pnpla4,-1.046945088,5.57E-23,1.88E-22
Prrg1,-1.048632117,3.93E-33,1.71E-32
Apoo,0.203155481,0.045570266,0.061646657
Yipf6,-0.69085073,2.49E-45,1.42E-44
Snx12,-0.346370869,1.08E-14,2.86E-14
Hdac8,0.563065426,1.53E-17,4.46E-17
Chic1,-0.567680862,0.002887079,0.004412199
Pbdc1,0.88001897,8.80E-34,3.89E-33
RGD1566265,0.574677239,1.04E-12,2.57E-12
RGD1561958,-3.237181444,3.46E-17,9.97E-17
Gla,-0.498906757,8.32E-10,1.84E-09
Armcx6,-1.151291366,1.80E-16,5.07E-16
Bex2,1.743392747,3.97E-10,8.90E-10
LOC363500,1.197646877,1.48E-06,2.82E-06
Mid2,-1.966072996,1.18E-74,1.15E-73
Arhgef6,0.245797914,0.000787567,0.001260039
Ids,-0.33062236,5.16E-06,9.55E-06
Abcd1,-0.62862751,4.46E-13,1.12E-12
Naa10,0.645190096,1.61E-49,1.00E-48
Hcfc1,0.991682204,5.00E-43,2.71E-42
Irak1,0.308303921,3.33E-08,6.88E-08
Taz,-0.831819397,3.31E-31,1.37E-30
Septin12,2.717055899,4.98E-07,9.73E-07
LOC363543,2.229150255,9.87E-10,2.18E-09
Cluap1,-0.467520596,4.14E-18,1.23E-17
Naa60,-0.462727346,1.42E-23,4.87E-23
Zg16b,-3.213961678,1.21E-07,2.43E-07
Mslnl,-1.386004775,4.70E-21,1.50E-20
Wfikkn1,0.721234166,2.43E-06,4.58E-06
RGD1564301,-5.264422972,6.07E-60,4.58E-59
Fbll1,2.456992479,0.034631262,0.04757075
RGD1560464,0.203646228,0.004776705,0.007154417
RGD1560689,-2.218605024,3.89E-14,1.01E-13
Tcf7,-0.60290729,3.33E-09,7.18E-09
Tnip1,-1.266462377,5.57E-141,1.28E-139
Cnot8,0.312843329,2.28E-20,7.16E-20
Olr1433,7.678261411,9.73E-93,1.23E-91
Iba57,0.93144851,3.35E-36,1.56E-35
Natd1,2.974493127,6.77E-229,3.50E-227
Grap,0.682547275,4.40E-13,1.11E-12
Kdm6b,0.199298247,0.016158453,0.02301438
Polr2a,-0.570627254,3.26E-15,8.83E-15
Kctd11,-0.758952164,1.04E-28,4.05E-28
Eral1,-0.166555801,0.008500565,0.012417574
Efcab5,4.900693467,1.36E-20,4.30E-20
Tmigd1,2.078794262,0.002516056,0.003864144
Bhlha9,-3.90152182,5.59E-24,1.93E-23
Cct6b,-0.53670613,0.001970736,0.003052794
Mrm1,2.069885813,1.92E-100,2.71E-99
Bcas3,0.150886633,0.01878605,0.026575169
Sp6,-1.704536815,1.16E-08,2.45E-08
Stac2,-0.71515318,0.001102817,0.001743946
Stard3,-0.204388155,5.43E-06,1.00E-05
Gjd3,-2.637999329,1.33E-10,3.04E-10
Meox1,1.403818346,3.20E-10,7.19E-10
C1ql1,3.984173578,3.44E-15,9.30E-15
RGD1559458,0.959538799,0.00759942,0.011156829
Srp68,-0.173560182,0.00066959,0.001077369
RGD1559519,0.791995186,5.01E-15,1.35E-14
Chmp2b,0.307226703,1.34E-09,2.94E-09
LOC363732,-1.760938485,0.001973007,0.003055991
Gabpa,0.534804339,2.73E-27,1.03E-26
LOC363746,0.995587333,0.000752915,0.001206949
Arl6,-1.794273778,3.00E-56,2.11E-55
Abi3bp,-3.68170784,5.43E-147,1.33E-145
Zpld1,-6.745252035,1.50E-54,1.02E-53
Plcxd2,1.795412143,4.06E-15,1.10E-14
Cfap44,0.729120542,3.04E-05,5.36E-05
Zdhhc23,0.555113105,0.003696703,0.005598324
Tigit,0.972266099,0.010319198,0.014954598
Fbxo40,3.969381371,1.90E-05,3.40E-05
Lmln,-0.9671745,1.13E-17,3.30E-17
Xxylt1,-1.257983699,1.48E-82,1.61E-81
RGD1559972,0.674219837,1.42E-10,3.23E-10
Map6d1,-5.04136042,6.98E-72,6.48E-71
Vpreb2,7.678394249,3.31E-88,3.90E-87
Ube2l3,0.069224283,0.041132945,0.055938083
Hira,1.051816565,4.98E-135,1.07E-133
Elavl1,0.853266961,6.25E-51,3.98E-50
Cd209,-2.31222955,0.000280077,0.00046279
Trappc5,-0.294694888,2.28E-09,4.94E-09
Rxfp2,-5.203168017,1.27E-21,4.14E-21
Zscan25,-0.57564641,1.34E-18,4.03E-18
Cnpy4,-1.609611928,2.22E-24,7.74E-24
RGD1562525,2.915943821,6.14E-08,1.25E-07
Tmem132c,-1.385348076,0.026526875,0.036913032
Rad9b,-1.23379152,2.61E-27,9.85E-27
Myl2,3.816317271,0.000384968,0.00063023
Selplg,2.418551051,1.11E-68,9.73E-68
Oas2,0.64509739,0.000132905,0.000224627
RGD1561440,1.055230431,5.24E-26,1.91E-25
Cdh20,-2.365059301,2.14E-08,4.45E-08
Nckap5,-3.208497172,2.59E-39,1.29E-38
Yod1,2.697569882,5.47E-105,8.22E-104
Ikbke,-0.399777225,2.17E-07,4.31E-07
Slc41a1,-0.922888405,1.32E-27,5.03E-27
Phlda3,-3.624534813,1.69E-125,3.25E-124
RGD1307782,0.944894252,2.07E-10,4.70E-10
Ncf2,3.480947397,1.20E-133,2.53E-132
Slc9c2,-1.061557834,4.45E-08,9.14E-08
Tnfsf18,-3.759147746,1.49E-24,5.22E-24
Pigc,-0.256603482,1.40E-05,2.53E-05
Vamp4,-0.476340781,5.01E-14,1.30E-13
Mael,-1.996523044,1.83E-05,3.27E-05
Slamf7,0.546176573,2.95E-05,5.21E-05
Pea15,-1.507380259,8.09E-20,2.51E-19
Pycr2,1.012954066,1.98E-60,1.52E-59
Hlx,1.041918648,4.43E-28,1.70E-27
Iars2,-1.340673046,2.00E-79,2.09E-78
Ddx3y,-2.918264133,7.64E-14,1.98E-13
Irf6,-0.62853182,0.012122526,0.017459365
Aasdh,0.511040629,1.54E-08,3.22E-08
Tmem165,0.385686047,1.34E-06,2.55E-06
Gsx2,-1.466056911,0.049365701,0.06653462
Fryl,0.224344674,0.018649458,0.026392039
Yipf7,4.87421116,2.15E-09,4.66E-09
Smim14,-0.260483807,3.06E-06,5.73E-06
LOC364176,1.262237852,1.88E-06,3.56E-06
Isca2-ps1,1.550843586,2.09E-17,6.06E-17
Bloc1s4,0.378066181,5.52E-10,1.23E-09
Rasl10a,-1.906457958,5.33E-09,1.14E-08
Fbxo48,3.014542899,2.58E-52,1.69E-51
Plek,4.384781089,9.19E-203,3.82E-201
LOC364218,-1.63359684,0.000626367,0.001009722
Acyp2,1.294425911,0.000293798,0.000484543
Dnajc9,2.5140247,0,0
Kcnk5,0.964939976,2.99E-20,9.38E-20
Spetex-2C,2.52954873,0.005513293,0.008206141
Pip4p1,-0.285735561,1.35E-14,3.58E-14
Rnase9,3.11423785,5.15E-08,1.05E-07
Rnase12,3.036459366,1.76E-43,9.64E-43
Abhd4,0.343756899,4.16E-05,7.28E-05
Rnf31,-0.338769658,3.39E-13,8.56E-13
Phf11b,0.380737035,0.004342219,0.006532097
C1qtnf9,-5.816606239,1.86E-46,1.09E-45
Arl11,1.21564991,2.07E-25,7.43E-25
Trim13,1.222535175,1.20E-25,4.33E-25
Blk,4.016554477,3.41E-76,3.41E-75
Scara3,-0.591544941,0.017336459,0.024615176
Kctd9,-0.831725208,3.57E-30,1.44E-29
LOC364417,2.004317613,1.01E-15,2.79E-15
Chmp7,-0.430429195,3.48E-35,1.59E-34
Tnfrsf10b,-3.935906367,9.34E-95,1.21E-93
Nufip1,0.611980602,5.23E-19,1.59E-18
Kctd12,0.783501704,9.35E-29,3.65E-28
Dzip1,-1.397137203,9.22E-14,2.38E-13
Phf7,0.381982609,4.42E-08,9.07E-08
Shld2,-0.218258537,0.000127068,0.000215043
Calr3,-2.093855735,5.05E-70,4.55E-69
Ssbp4,1.134026274,2.68E-55,1.86E-54
Tmem161a,-0.29451603,0.003935327,0.00594661
RGD1564941,-4.177906514,4.85E-14,1.26E-13
LOC364540,-3.548626265,1.85E-35,8.49E-35
LOC364556,1.665567933,4.37E-05,7.65E-05
Palldl1,2.998803619,6.92E-07,1.34E-06
LOC364592,0.70154516,0.024238544,0.033878536
Tlr3,-1.852257096,7.03E-158,1.91E-156
Micu3,-1.488420845,1.11E-32,4.79E-32
RGD1565245,2.808603946,0.001606403,0.002509575
RGD1560512,0.732585381,0.022435068,0.031469303
Lsm1,-1.007110309,4.59E-60,3.48E-59
Tpte2,-1.544050215,0.006263351,0.009274022
Thsd1,-2.193553949,2.00E-63,1.62E-62
Csmd1,-2.100659839,3.04E-06,5.69E-06
Fbxo25,-0.180729601,0.000375066,0.00061436
Shcbp1,5.784386115,0,0
Wdr17,-2.457671841,5.98E-08,1.22E-07
Rnf170,-0.406256483,1.11E-12,2.75E-12
Mrpl36,0.387471561,5.65E-17,1.62E-16
Cdk20,-0.306257344,6.52E-06,1.20E-05
RGD1559908,0.871774599,4.82E-30,1.94E-29
Tifab,1.784733129,9.49E-32,3.98E-31
Gprin1,-3.322010049,2.22E-26,8.18E-26
Sfxn1,-1.276230524,8.26E-61,6.36E-60
Rnf144b,-0.774206948,1.95E-20,6.13E-20
Ranbp9,0.208702348,2.69E-06,5.05E-06
Hmgb1-ps2,-1.794735954,7.49E-06,1.37E-05
Serpinb6b,1.039570355,1.66E-21,5.38E-21
Foxc1,1.209487761,1.53E-28,5.93E-28
Foxf2,-1.815470897,8.82E-07,1.70E-06
Prss16,-2.090399948,0.00623714,0.00923845
Hist1h2ao,2.976707805,4.48E-65,3.72E-64
Nme8,-0.934255339,9.02E-05,0.000154349
RGD1563690,1.414894014,9.40E-13,2.33E-12
Gabpb1l,0.537808563,6.41E-06,1.18E-05
Lyzl1,4.08060015,7.73E-11,1.78E-10
Fzd8,-1.754850808,6.42E-65,5.31E-64
Ero1b,0.789911557,1.34E-20,4.22E-20
Suv39h2,3.121202165,2.91E-204,1.23E-202
Arl5b,-1.368810451,3.43E-52,2.24E-51
LOC364806,-2.141921893,1.31E-06,2.51E-06
Psma8,-3.42527333,1.94E-20,6.11E-20
Klhl14,4.643638525,1.71E-40,8.79E-40
Polr2d,0.626957755,4.34E-26,1.59E-25
Sft2d3,-0.362876702,6.49E-06,1.19E-05
Gypc,2.257820225,1.47E-140,3.35E-139
Reep5,-2.261110334,3.15E-253,1.98E-251
Pcdhga8,-3.60470297,1.80E-47,1.07E-46
Pcdhgb7,-2.840813965,8.42E-36,3.89E-35
Pcdhgb8,-3.207322971,2.29E-53,1.52E-52
Stk32a,-1.63265754,0.00619675,0.009181841
Ticam2,0.370681267,0.000328065,0.000539522
Marchf3,1.52832332,1.92E-57,1.38E-56
Isoc1,-0.790288226,2.86E-30,1.16E-29
Cdx1,-1.646081378,2.28E-11,5.38E-11
Cfap53,0.817206274,8.85E-16,2.44E-15
Ctif,-2.735227538,1.01E-295,8.26E-294
St8sia5,2.433245903,8.74E-05,0.000149774
Mrps21l,1.413212713,0.016135444,0.022986034
Nkd1,-1.770901598,9.30E-40,4.69E-39
Best2,2.234704152,3.50E-09,7.53E-09
Rnaseh2a,0.766659461,1.91E-23,6.53E-23
Gcdh,-0.842066373,1.89E-25,6.81E-25
Syce2,-0.330137536,4.69E-05,8.18E-05
Scoc,0.127736644,0.015200378,0.021707278
Slc25a36l1,-0.570205044,7.16E-05,0.000123411
Pskh1,-0.190714896,0.005570767,0.008287935
Dpep3,2.081688318,1.12E-48,6.84E-48
Ddx28,0.536793611,9.67E-22,3.15E-21
Zcchc14,-1.95733438,1.09E-99,1.52E-98
Rnf166,0.714896872,8.68E-66,7.29E-65
Ankrd11,-0.189191961,0.001653705,0.002579929
Chmp1a,0.265418673,7.16E-20,2.22E-19
Sash1,-2.021249161,2.58E-34,1.16E-33
Samd5,-3.960918838,2.39E-40,1.22E-39
Rab32,1.27788137,7.67E-32,3.23E-31
Map3k5,0.133996308,0.015450767,0.022045698
LOC365076,2.604958594,0.000227795,0.000378792
LOC365085,-2.678291309,2.59E-09,5.60E-09
Acat2l1,-1.321449039,3.34E-35,1.52E-34
Prdm9,-1.488274339,1.55E-30,6.31E-30
Zfp787,0.524272546,3.67E-26,1.35E-25
Zfp524,0.392551517,2.19E-06,4.12E-06
Fcar,9.133930693,7.81E-114,1.30E-112
Chmp2a,0.351937651,3.04E-25,1.08E-24
Micb,-3.32451799,2.27E-105,3.43E-104
Smg9,1.466213828,7.04E-125,1.35E-123
LOC365219,-0.611627902,0.000686619,0.001103724
Lrfn1,-1.029695422,4.31E-16,1.20E-15
Zfp74,-2.008112529,1.02E-62,8.12E-62
Ovol3,0.478882148,0.048889923,0.065935425
LOC365232,0.412784956,0.001881047,0.002919669
LOC365238,-2.095446538,1.31E-06,2.49E-06
Kcna7,3.141780688,2.47E-07,4.88E-07
Zdhhc13,0.585836259,1.31E-13,3.36E-13
Atp10a,-0.638921906,0.000267875,0.000443297
Asb7,0.133461908,0.022689216,0.031807695
Pgpep1l,1.513811805,1.66E-07,3.32E-07
Crtc3,-1.122515205,1.44E-98,1.97E-97
Alpk3,2.687174637,4.14E-15,1.12E-14
Bnc1,-7.718617338,3.39E-74,3.28E-73
Xrra1,-1.787920102,1.21E-11,2.88E-11
Lipt2,-0.753499529,1.37E-15,3.75E-15
Olr63,-2.633703247,2.67E-32,1.14E-31
Cyb5r2,-1.797877478,1.82E-14,4.80E-14
Mical2,1.445671512,1.67E-31,6.98E-31
Rras2,-1.701720867,3.31E-91,4.06E-90
RGD1565301,-1.669790951,0.022771559,0.031916983
Tmc5,2.251462957,0.000258044,0.000427506
Lyrm1,-2.74370455,1.75E-169,5.30E-168
Cd19,6.148283027,1.44E-165,4.20E-164
Tbx6,1.116668992,1.09E-11,2.61E-11
Tbc1d10b,0.854512375,1.80E-123,3.39E-122
Trim72,3.070446608,5.22E-17,1.50E-16
Jakmip3,-4.825945444,1.16E-68,1.02E-67
Stk32c,-2.877319351,1.04E-18,3.12E-18
Inpp5a,-0.458722201,1.41E-18,4.23E-18
RGD1559948,0.903925159,1.79E-08,3.74E-08
Odf3,-1.464020568,1.12E-06,2.15E-06
Psmd13,0.74228346,1.21E-72,1.13E-71
Lrrc56,-0.702776066,5.11E-09,1.09E-08
Tspan32,2.642571193,1.35E-95,1.78E-94
Cabp4,-0.318396814,0.00215441,0.00332617
Clcf1,-0.427550985,0.000779779,0.001248119
Ssh3,-1.936572038,3.81E-95,4.97E-94
RGD1566289,-2.359083191,1.18E-05,2.14E-05
Cpsf7,0.229440824,8.74E-05,0.000149774
Osbp,0.104614859,0.00969099,0.014084213
LOC365418,-1.030118468,0.006790272,0.010018123
Fra10ac1,0.093693531,0.045105692,0.061054483
Tll2,2.733238607,5.88E-25,2.09E-24
Cwf19l1,0.167616048,0.000574488,0.000928419
Cfap43,-1.674594639,1.03E-11,2.45E-11
Cacul1,-0.075563045,0.017081752,0.024271003
Nanos1,4.186998197,0,0
Zfp296,1.063817089,2.38E-12,5.81E-12
RT1-M6-2,-0.588404581,3.93E-08,8.09E-08
RT1-DOb,0.581672361,0.000210704,0.000351359
Umodl1,-2.238638319,1.30E-50,8.26E-50
Tspear,1.40476739,7.59E-09,1.61E-08
Pttg1ip,-1.291615735,4.70E-206,2.03E-204
RGD1563815,-1.15456232,0.006104508,0.009050605
Vpreb3,5.627626315,8.09E-51,5.13E-50
Rsph14,1.193893435,0.019602364,0.027674365
Micu1,-0.135615437,0.012409062,0.017857267
Tysnd1,-1.596283341,3.56E-93,4.53E-92
LOC365572,-0.916929522,0.000403868,0.000660039
Edar,0.831896467,0.002031353,0.003142454
Dse,-2.595232465,8.22E-155,2.16E-153
Atg5,0.120628256,0.00230152,0.003543306
Bves,1.069588664,0.006442293,0.009524201
Arsk,-0.563030176,1.28E-10,2.93E-10
Mblac2,-1.045144983,3.52E-30,1.42E-29
Marveld2,-1.327369885,1.53E-07,3.06E-07
Erbin,0.852923952,5.84E-52,3.79E-51
Mtrex,0.211046164,7.28E-06,1.34E-05
RGD1560484,2.617873114,1.57E-05,2.82E-05
Egflam,-2.230007154,1.14E-48,6.97E-48
Nadk2,2.437345665,2.35E-210,1.04E-208
Trim55,4.473509893,4.71E-25,1.68E-24
Tbl1xr1,0.551380999,4.97E-32,2.10E-31
Actrt3,2.633714321,1.63E-27,6.18E-27
Bbs12,-0.749587928,7.53E-30,3.02E-29
Rab33b,-1.152597125,1.43E-55,9.98E-55
Ufm1,-0.553749495,1.05E-21,3.43E-21
Selenot,-0.143450054,0.000805335,0.00128763
Trim59,5.440481724,0,0
Fstl5,1.950021843,0.016072614,0.022898734
Fam160a1,-1.514271389,2.30E-07,4.57E-07
Clk2,0.226458395,0.000450078,0.000732928
Nup210l,3.422097042,3.73E-61,2.89E-60
LOC365846,5.566460171,1.08E-34,4.87E-34
RGD1563667,-1.955674321,7.72E-12,1.85E-11
Tuft1,-0.444580546,0.000441732,0.000719694
Pip5k1a,0.425286415,1.70E-16,4.79E-16
Hormad1,-0.938941204,0.009064334,0.013207214
Ciart,1.24909336,2.31E-11,5.45E-11
Aph1a,0.27310631,1.34E-08,2.81E-08
Bola1,0.813422198,6.52E-33,2.83E-32
Hist2h2aa3,-2.906872538,5.46E-56,3.83E-55
Ankrd35,0.662005176,0.000344347,0.000565451
Trim33,0.927910853,8.89E-73,8.36E-72
Hipk1,1.542884609,4.72E-82,5.11E-81
LOC365897,-2.502761364,4.83E-13,1.21E-12
Alx3,-4.139658322,8.52E-17,2.43E-16
Gnat2,-3.191918117,8.92E-24,3.06E-23
Fam102b,-0.997018713,1.62E-31,6.76E-31
Tlcd4,2.474061597,7.82E-153,2.01E-151
LOC365942,-1.197082159,0.003180148,0.004841327
Slc9b1,-0.86568598,0.005188763,0.007742969
Bank1,3.925191708,1.12E-106,1.72E-105
LOC365949,1.041403401,1.86E-09,4.06E-09
Gipc2,-1.749034617,8.25E-38,3.99E-37
Lhx8,3.4097653,3.52E-14,9.19E-14
St6galnac5,2.143282371,2.26E-14,5.95E-14
Ak5,-1.597487095,4.92E-10,1.10E-09
Arrdc1,1.320243557,7.59E-29,2.97E-28
LOC366006,-2.070804536,4.98E-05,8.67E-05
Trub2,-0.355623161,1.37E-11,3.25E-11
Coq4,-0.320625271,1.34E-05,2.42E-05
Zdhhc12,0.583332009,7.81E-12,1.87E-11
Exosc2,1.739550777,5.84E-158,1.59E-156
Klf5-ps1,2.504054832,3.60E-22,1.19E-21
Zbtb6,0.612144443,9.48E-25,3.34E-24
RGD1561137,1.349528644,0.0223949,0.031415938
Crb2,-5.683142667,1.52E-41,7.97E-41
Galnt3,4.194971815,5.54E-48,3.34E-47
B3galt1,-3.566885118,2.04E-40,1.04E-39
Cers6,-0.910156899,2.72E-11,6.38E-11
Myo3b,-2.902534179,0.012705775,0.018263818
LOC366071,0.902295702,0.026179627,0.036457262
LOC366097,3.572474632,1.97E-14,5.19E-14
Agbl2,-1.336836506,6.38E-09,1.36E-08
Spi1,1.868481367,1.61E-66,1.37E-65
Ldlrad3,-1.997356197,2.77E-70,2.51E-69
Fjx1,-2.630980529,1.64E-40,8.43E-40
Elf5,-0.584959066,0.029161746,0.040380112
Rtf1,0.755946487,7.19E-37,3.40E-36
Tmem87a,-0.260894368,2.96E-06,5.55E-06
Catsper2,-0.920000996,7.50E-25,2.65E-24
Patl2,2.489942431,1.36E-14,3.60E-14
Tgm3,-3.272934666,8.68E-10,1.92E-09
Fastkd5,1.031437716,9.91E-47,5.84E-46
RGD1565299,1.384933235,0.000313747,0.00051655
Crls1,-1.453773371,1.08E-90,1.32E-89
LOC366199,-2.735730815,1.53E-15,4.19E-15
Flrt3,-3.753648716,3.78E-44,2.11E-43
Apmap,-2.31845311,1.28E-231,6.78E-230
Scrt2,2.886500185,0.015206735,0.021715308
Rem1,-5.519158477,2.07E-94,2.68E-93
Slc2a10,-4.092724861,2.88E-119,5.16E-118
LOC366260,2.786750915,0.001638804,0.002558437
Spo11,1.423213835,2.32E-06,4.38E-06
Rbm38,6.423345712,0,0
Rab22a,-0.812897048,1.12E-66,9.53E-66
Ntsr1,-5.995170803,7.46E-86,8.50E-85
Ptk6,-2.310515827,1.13E-08,2.39E-08
Prpf6,-0.657421994,2.07E-69,1.85E-68
Polr3k,-0.266739027,0.005717007,0.008497384
Pcmtd1,-0.766645387,7.07E-53,4.65E-52
RGD1565372,-2.065557682,2.14E-08,4.46E-08
Clvs1,-1.180506263,2.49E-22,8.24E-22
LOC366320,6.334824218,2.23E-57,1.61E-56
Faxc,-1.325793509,1.60E-06,3.05E-06
Mob3b,-3.007628824,9.14E-161,2.55E-159
Myorg,-3.497541468,2.24E-47,1.34E-46
Igfbpl1,3.070445486,1.35E-09,2.96E-09
Frrs1l,5.571378703,5.33E-119,9.51E-118
Cdc26,0.577606394,3.54E-39,1.77E-38
Fam29a,1.181507164,3.54E-87,4.11E-86
Slc1a7,-4.890234918,1.02E-70,9.29E-70
Btf3l4,-0.157806849,0.000217491,0.000362228
LOC366436,-3.881557166,4.50E-27,1.69E-26
LOC366447,-1.065638785,3.17E-07,6.25E-07
Uqcrh,0.579309341,7.78E-19,2.35E-18
Mpl,5.38561297,5.95E-200,2.40E-198
Ppih,1.304185303,3.61E-166,1.06E-164
Oxct2b,-1.59496983,0.035256504,0.048382429
Maneal,-2.757869757,4.94E-32,2.09E-31
Lsm10,-0.687624285,1.66E-28,6.43E-28
Azin2,-1.951810194,1.47E-26,5.43E-26
Col16a1,-2.699633597,6.58E-72,6.12E-71
Pigv,0.580814423,1.26E-16,3.56E-16
RGD1563135,-3.835743055,3.12E-66,2.63E-65
Sh2d5,6.998546239,1.62E-248,9.73E-247
Spata21,-0.893072721,9.17E-05,0.000156856
Epha2,-1.94400248,1.09E-51,7.02E-51
LOC366502,0.684219529,0.001492417,0.002335697
Lzic,-0.325778222,5.70E-16,1.58E-15
Pik3cd,1.528854947,4.84E-42,2.57E-41
Wrap73,0.89142192,1.03E-70,9.38E-70
Ttc34,-3.06125176,7.94E-16,2.19E-15
Tnfrsf14,4.720735885,2.73E-250,1.67E-248
Dhx57,-0.924168258,2.31E-41,1.21E-40
Six2,5.022062944,4.94E-09,1.05E-08
Atp6v1e2,1.419236247,4.51E-12,1.09E-11
Colec11,-1.00751451,0.040276727,0.054841749
Dus4l,-0.29914481,0.001284796,0.002020702
Sypl1,-0.632021651,1.27E-13,3.25E-13
Dock4,-2.061563725,2.87E-62,2.27E-61
Dtd2,0.879974903,1.26E-29,5.04E-29
Cfl2,-1.034000819,1.63E-06,3.10E-06
Ttc6,-3.149860568,8.08E-13,2.01E-12
Syne2,-3.917825545,1.47E-238,8.20E-237
RGD1559921,-1.492928748,0.023991223,0.033551874
Rbm25,0.441956861,1.43E-25,5.15E-25
Sptlc2,-1.114918703,2.91E-46,1.70E-45
Adck1,-0.737614748,1.76E-25,6.34E-25
Diras3,-2.006024591,1.48E-22,4.92E-22
Bag5,-0.215257058,4.28E-06,7.96E-06
LOC366738,1.821353014,0.043689405,0.059240414
LOC366752,5.275505759,2.30E-29,9.12E-29
LOC366763,3.46933458,0.004744891,0.007109286
LOC366782,4.124948655,6.28E-11,1.45E-10
Alkbh8,-0.763900306,2.92E-22,9.66E-22
Pym1,1.107884018,4.46E-96,5.90E-95
Mettl7b,-3.092864844,9.74E-25,3.43E-24
Ephx3,-3.336477709,1.28E-60,9.83E-60
Kank3,-1.791271126,2.48E-37,1.19E-36
Fbxo7,2.107425817,1.19E-189,4.47E-188
Mterf2,-1.642581596,1.04E-35,4.78E-35
Glt8d2,-3.344157362,5.36E-141,1.23E-139
Cep83,0.279355875,5.33E-09,1.14E-08
LOC366878,-1.223092912,0.005313744,0.007921481
Zdhhc17,-0.781844465,3.88E-36,1.81E-35
Caps2,-2.332564892,6.44E-08,1.31E-07
Trhde,-2.754811984,1.05E-79,1.10E-78
Tbc1d15,0.398644927,8.49E-13,2.11E-12
Slc26a10,-1.749633931,5.98E-17,1.71E-16
Snx31,2.133510859,1.37E-53,9.14E-53
Mafa,1.244251822,0.004692511,0.007035437
Scrt1,-0.456326493,0.047461322,0.064085113
Cpsf1,-0.330902459,1.48E-20,4.68E-20
Tonsl,2.456636917,1.47E-107,2.29E-106
Zfp251,-0.602016019,4.87E-30,1.96E-29
Rac2,3.658678837,1.11E-252,6.95E-251
Gcat,-2.660359186,8.19E-26,2.97E-25
Maff,-1.566064845,1.85E-24,6.46E-24
Grap2,5.187760192,0,0
Pphln1,0.272427575,2.87E-12,6.98E-12
LOC366979,-0.899765976,0.049186687,0.066314495
Arid2,0.844236281,1.55E-49,9.65E-49
Cers5,-1.261027931,2.64E-76,2.65E-75
Bin2,3.527487672,0,0
Tbca,0.281638817,1.14E-10,2.61E-10
Nfe2,7.709650679,0,0
Fam76b,0.481042959,3.19E-10,7.18E-10
Zfp26,0.460681488,1.82E-11,4.29E-11
Zfp266,-0.373161737,4.94E-16,1.37E-15
LOC367036,-1.091312981,0.000186537,0.000312257
Ap1m2,-3.290722237,6.22E-14,1.61E-13
Dock6,-2.478578803,1.49E-60,1.14E-59
Ccdc15,0.694345861,1.08E-13,2.78E-13
Arhgef12,-0.353646367,3.88E-07,7.62E-07
Trappc4,-0.352822079,3.49E-09,7.50E-09
Alg9,-2.06076768,8.41E-235,4.58E-233
Arhgap20,-3.38763865,5.88E-23,1.98E-22
Sln,2.481654189,0.030027158,0.041516261
Neil1,0.785823372,4.22E-19,1.28E-18
Arid3b,0.560448053,9.11E-12,2.18E-11
Smad6,-1.445997817,1.62E-30,6.61E-30
